,email,EndDate,importance_check,importance_bars,importance_recommend,importance_world,importance_feedback,desc_decision,desc_rec,desc_helpful,desc_frustrated,dec_decision_other,se_post,mindset_post,gender,ethnicity,num_prior_courses,degree_in_progress,university_current,degree,test_score,uid,condition,name,se_post_label,se_pre,se_pre_label,se_delta,se_delta_label,num_ex_correct,num_ex_attempted,num_ex_submits,entropy,entropy_prop_max,bin_test_score,bin_test_score_num,bin_num_ex_attempted,bin_num_ex_attempted_num,bin_num_ex_correct,bin_num_ex_correct_num,predicted,residuals
1,,,Extremely important,Moderately important,Not at all important,Extremely important,Very important,,,,,,5.90625,growth,,,0,,,,29.75,,E1,,high,5.0625,high,0.84375,low,43,43,66,6.367738735,0.96482164,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,18.96265113,10.78734887
2,,,Very important,Moderately important,Moderately important,Very important,Moderately important,,,,,,5.65625,growth,,,0,,,,17.5,,E1,,high,3.375,high,2.28125,high,36,39,95,6.151647187,0.970314311,"(16.5,19.5]",6,"(37.3,40.7]",11,"(33,36.3]",10,20.54664042,-3.046640421
3,,,Very important,Moderately important,Not applicable (N/A),Extremely important,Very important,,,,,,3.1875,growth,,,0,,,,8.25,,C1,,low,1.53125,med,1.65625,med,43,43,115,6.164155963,0.942652739,"(7.5,10.5]",3,"(40.7,44]",12,"(39.7,43]",12,20.33254881,-12.08254881
4,,,Moderately important,Moderately important,Extremely important,Moderately important,Very important,,,,,,3.40625,growth,,,0,,,,9.5,,C2,,med,2.15625,med,1.25,low,9,9,34,6.182005815,0.97238777,"(7.5,10.5]",3,"(7.33,10.7]",2,"(6.33,9.67]",2,13.38614329,-3.886143291
5,,,Very important,Not applicable (N/A),Not applicable (N/A),Slightly important,Moderately important,,,,,,3.09375,fixed,,,0,,,,37.5,,C1,,low,1.84375,med,1.25,low,43,44,70,6.521823383,0.981632232,"(34.5,37.5]",12,"(40.7,44]",12,"(39.7,43]",12,19.23874025,18.26125975
6,,,Moderately important,Not applicable (N/A),Not applicable (N/A),Extremely important,Slightly important,,,,,,4.8125,growth,,,0,,,,23.75,,C1,,high,3.625,high,1.1875,low,43,43,98,6.52479383,0.969808409,"(22.5,25.5]",8,"(40.7,44]",12,"(39.7,43]",12,19.07046201,4.679537987
7,,,Slightly important,Slightly important,Slightly important,Moderately important,Slightly important,,,,,,2.6875,fixed,,,1,,,,6.5,,C2,,low,3.59375,high,-0.90625,low,43,44,154,7.153216558,0.96653602,"(4.5,7.5]",2,"(40.7,44]",12,"(39.7,43]",12,20.11795506,-13.61795506
8,,,Extremely important,Moderately important,Moderately important,Not applicable (N/A),Not at all important,,,,,,4.71875,growth,,,0,,,,30,,C2,,high,1.3125,low,3.40625,high,30,30,97,6.938753524,0.989663189,"(28.5,31.5]",10,"(27.3,30.7]",8,"(29.7,33]",9,26.05097323,3.949026768
9,,,Moderately important,Moderately important,Slightly important,Very important,Very important,,,,,,4.625,growth,,,1,,,,12.75,,C1,,high,2.59375,high,2.03125,med,43,43,113,5.900944311,0.953329816,"(10.5,13.5]",4,"(40.7,44]",12,"(39.7,43]",12,22.77420822,-10.02420822
10,,,Extremely important,Very important,Slightly important,Moderately important,Extremely important,,,,,,1.90625,growth,,,0,,,,8,,E1,,low,1,low,0.90625,low,43,44,110,6.138116197,0.952688193,"(7.5,10.5]",3,"(40.7,44]",12,"(39.7,43]",12,19.13092937,-11.13092937
11,,,Very important,Extremely important,Moderately important,Slightly important,Very important,,,,,,4.25,growth,,,0,,,,23.5,,E1,,med,3.4375,high,0.8125,low,31,33,68,4.931151216,0.946577476,"(22.5,25.5]",8,"(30.7,34]",9,"(29.7,33]",9,14.95895163,8.541048373
12,,,Extremely important,Very important,Extremely important,Very important,Extremely important,,,,,,3,mix,,,0,,,,16.5,,C2,,low,1,low,2,med,40,41,140,6.88306083,0.96828264,"(13.5,16.5]",5,"(40.7,44]",12,"(39.7,43]",12,25.53101315,-9.031013153
13,,,Moderately important,Moderately important,Moderately important,Very important,Moderately important,,,,,,4.6875,growth,,,0,,,,27,,E1,,high,1.96875,med,2.71875,high,43,43,63,5.975684803,0.971696021,"(25.5,28.5]",9,"(40.7,44]",12,"(39.7,43]",12,24.01099832,2.989001678
14,,,Very important,Very important,Moderately important,Moderately important,Moderately important,,,,,,2.65625,growth,,,0,,,,28.5,,E1,,low,1,low,1.65625,med,42,43,90,6.173599637,0.971065535,"(25.5,28.5]",9,"(40.7,44]",12,"(39.7,43]",12,20.82363821,7.676361786
15,,,Extremely important,Very important,Slightly important,Very important,Extremely important,,,,,,6.1875,growth,,,0,,,,30.5,,E1,,high,3.5,high,2.6875,high,43,43,78,6.099937373,0.959478958,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,23.9268592,6.573140797
16,,,Extremely important,Very important,Not applicable (N/A),Very important,Extremely important,,,,,,4.46875,growth,,,0,,,,23.5,,C1,,med,4.40625,high,0.0625,low,43,43,73,6.235176024,0.970264417,"(22.5,25.5]",8,"(40.7,44]",12,"(39.7,43]",12,16.0414537,7.458546304
17,,,Very important,Moderately important,Slightly important,Not applicable (N/A),Moderately important,,,,,,3.5,fixed,,,0,,,,33,,C2,,med,1,low,2.5,high,43,43,152,6.971399807,0.977854265,"(31.5,34.5]",11,"(40.7,44]",12,"(39.7,43]",12,27.85712917,5.142870833
18,,,Moderately important,Not applicable (N/A),Not at all important,Extremely important,Very important,,,,,,3.21875,growth,,,0,,,,2.5,,C1,,med,1,low,2.21875,high,43,44,115,6.399730707,0.97410523,"(1.46,4.5]",1,"(40.7,44]",12,"(39.7,43]",12,21.84705297,-19.34705297
19,,,Extremely important,Moderately important,Slightly important,Very important,Extremely important,,,,,,4.3125,growth,,,0,,,,21,,E1,,med,2.78125,high,1.53125,med,43,43,94,6.351289291,0.968983629,"(19.5,22.5]",7,"(40.7,44]",12,"(39.7,43]",12,20.81371177,0.186288234
20,,,Moderately important,Not at all important,Not at all important,Moderately important,Extremely important,,,,,,2.65625,growth,,,0,,,,2.5,,C2,,low,2.53125,high,0.125,low,6,9,25,6.103894778,0.986117574,"(1.46,4.5]",1,"(7.33,10.7]",2,"(2.96,6.33]",1,9.377244879,-6.877244879
21,,,Very important,Not at all important,Not at all important,Extremely important,Extremely important,,,,,,4.53125,fixed,,,0,,,,29.5,,C1,,high,1.40625,med,3.125,high,41,44,75,6.007756064,0.973716222,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,23.63382738,5.866172617
22,,,Moderately important,Very important,Very important,Moderately important,Slightly important,,,,,,4.8125,mix,,,0,,,,19.25,,C2,,high,3.1875,high,1.625,med,7,7,21,6.243643232,0.979388959,"(16.5,19.5]",6,"(3.96,7.33]",1,"(6.33,9.67]",2,13.74255267,5.507447334
23,,,Very important,Very important,Slightly important,Moderately important,Slightly important,,,,,,1.25,mix,,,0,,,,7.5,,E1,,low,1,low,0.25,low,36,37,100,6.527962019,0.964507127,"(4.5,7.5]",2,"(34,37.3]",10,"(33,36.3]",10,15.07759763,-7.577597627
24,,,Moderately important,Slightly important,Slightly important,Slightly important,Very important,,,,,,3.1875,mix,,,0,,,,15.5,,E1,,low,1,low,2.1875,med,42,42,94,6.054574504,0.966137025,"(13.5,16.5]",5,"(40.7,44]",12,"(39.7,43]",12,22.25400325,-6.754003252
25,,,Very important,Extremely important,Slightly important,Extremely important,Extremely important,,,,,,5.46875,growth,,,0,,,,32.5,,E1,,high,4.15625,high,1.3125,low,43,43,67,6.356049565,0.969709879,"(31.5,34.5]",11,"(40.7,44]",12,"(39.7,43]",12,20.22473793,12.27526207
26,,,Very important,Slightly important,Extremely important,Not at all important,Slightly important,,,,,,4.34375,growth,,,0,,,,18.5,,C2,,med,1.75,med,2.59375,high,11,11,22,6.112995501,0.984465965,"(16.5,19.5]",6,"(10.7,14]",3,"(9.67,13]",3,17.65738551,0.842614489
27,,,Very important,Very important,Not at all important,Not applicable (N/A),Slightly important,,,,,,3.625,growth,,,0,,,,21.5,,C2,,med,1.65625,med,1.96875,med,16,17,37,6.49121571,0.977025319,"(19.5,22.5]",7,"(14,17.3]",4,"(13,16.3]",4,17.60775327,3.892246729
28,,,Not at all important,Not applicable (N/A),Not applicable (N/A),Extremely important,Very important,,,,,,4.625,growth,,,2,,,,19,,C1,,high,2.34375,med,2.28125,high,34,34,50,6.032286178,0.971468151,"(16.5,19.5]",6,"(30.7,34]",9,"(33,36.3]",10,21.93964085,-2.939640854
29,,,Very important,Slightly important,Not applicable (N/A),Extremely important,Very important,,,,,,3.875,mix,,,0,,,,31,,C1,,med,1.09375,low,2.78125,high,43,43,104,5.959885138,0.956824309,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,23.36155713,7.638442872
30,,,Extremely important,Not at all important,Extremely important,Not applicable (N/A),Extremely important,,,,,,5.9375,growth,,,0,,,,16.25,,C2,,high,1.1875,low,4.75,high,15,15,56,6.659574236,0.982041142,"(13.5,16.5]",5,"(14,17.3]",4,"(13,16.3]",4,24.76950491,-8.519504911
31,,,Slightly important,Slightly important,Not at all important,Not applicable (N/A),Slightly important,,,,,,3.6875,growth,,,0,,,,5.5,,C2,,med,2.1875,med,1.5,med,15,16,92,7.023733328,0.988071909,"(4.5,7.5]",2,"(14,17.3]",4,"(13,16.3]",4,16.01903644,-10.51903644
32,,,Very important,Moderately important,Moderately important,Very important,Extremely important,,,,,,2.15625,growth,,,0,,,,22.5,,C2,,low,1.25,low,0.90625,low,43,43,129,6.74339153,0.976328123,"(19.5,22.5]",7,"(40.7,44]",12,"(39.7,43]",12,23.56603405,-1.066034052
33,,,Extremely important,Moderately important,Very important,Not applicable (N/A),Slightly important,,,,,,3.375,growth,,,0,,,,27,,C2,,med,2.96875,high,0.40625,low,8,9,25,6.502002713,0.964478907,"(25.5,28.5]",9,"(7.33,10.7]",2,"(6.33,9.67]",2,10.78775702,16.21224298
34,,,Very important,Not at all important,Not at all important,Extremely important,Extremely important,,,,,,3.6875,mix,,,0,,,,23.75,,C1,,med,1.21875,low,2.46875,high,43,43,88,6.163997255,0.947171445,"(22.5,25.5]",8,"(40.7,44]",12,"(39.7,43]",12,22.52016593,1.229834071
35,,,Very important,Moderately important,Not at all important,Slightly important,Moderately important,,,,,,4.15625,mix,,,0,,,,33,,C2,,med,1.6875,med,2.46875,high,43,44,87,6.374428062,0.984356155,"(31.5,34.5]",11,"(40.7,44]",12,"(39.7,43]",12,27.77299005,5.227009953
36,,,Extremely important,Not applicable (N/A),Not applicable (N/A),Extremely important,Moderately important,,,,,,3.90625,mix,,,0,,,,22,,C1,,med,1.71875,med,2.1875,med,43,43,162,6.299077442,0.958784761,"(19.5,22.5]",7,"(40.7,44]",12,"(39.7,43]",12,21.76291385,0.23708615
37,,,Very important,Not applicable (N/A),Not applicable (N/A),Very important,Moderately important,,,,,,2.71875,fixed,,,0,,,,24.5,,C1,,low,1,low,1.71875,med,43,43,86,5.978598236,0.968990423,"(22.5,25.5]",8,"(40.7,44]",12,"(39.7,43]",12,20.50082705,3.999172949
38,,,Very important,Slightly important,Moderately important,Not at all important,Slightly important,,,,,,2.875,growth,,,0,,,,14,,E1,,low,1.6875,med,1.1875,low,43,44,133,6.397016754,0.971458342,"(13.5,16.5]",5,"(40.7,44]",12,"(39.7,43]",12,19.88818145,-5.888181447
39,,,Very important,Moderately important,Moderately important,Slightly important,Moderately important,,,,,,2.46875,growth,,,0,,,,4.5,,C1,,low,1.0625,low,1.40625,med,40,43,126,6.296186059,0.972273817,"(1.46,4.5]",1,"(40.7,44]",12,"(39.7,43]",12,18.67954576,-14.17954576
40,,,Moderately important,Moderately important,Extremely important,Very important,Very important,,,,,,6.625,fixed,,,1,,,,32.5,,C2,,high,2.40625,high,4.21875,high,13,14,37,6.770474503,0.973581159,"(31.5,34.5]",11,"(10.7,14]",3,"(9.67,13]",3,24.11786977,8.382130226
41,,,Slightly important,Not applicable (N/A),Not applicable (N/A),Moderately important,Very important,,,,,,2.65625,mix,,,0,,,,18.5,,C1,,low,1,low,1.65625,med,43,43,85,6.392004653,0.964196832,"(16.5,19.5]",6,"(40.7,44]",12,"(39.7,43]",12,20.33254881,-1.832548811
42,,,Very important,Very important,Extremely important,Not applicable (N/A),Extremely important,,,,,,5.1875,growth,,,1,,,,33.5,,C2,,high,1.90625,med,3.28125,high,43,43,113,6.025118113,0.970313771,"(31.5,34.5]",11,"(40.7,44]",12,"(39.7,43]",12,31.39259713,2.10740287
43,,,Very important,Very important,Very important,Very important,Slightly important,,,,,,1.75,fixed,,,0,,,,11.25,,E1,,low,1.1875,low,0.5625,low,43,43,157,6.126476437,0.961009968,"(10.5,13.5]",4,"(40.7,44]",12,"(39.7,43]",12,18.20539905,-6.955399049
44,,,Very important,Slightly important,Not at all important,Not applicable (N/A),Extremely important,,,,,,2.25,growth,,,0,,,,3,,C2,,low,1,low,1.25,low,3,4,9,6.677746686,0.980960558,"(1.46,4.5]",1,"(3.96,7.33]",1,"(2.96,6.33]",1,11.4263631,-8.4263631
45,,,Moderately important,Very important,Slightly important,Very important,Slightly important,,,,,,3,growth,,,1,,,,30,,E1,,low,1.78125,med,1.21875,low,40,42,63,6.550339345,0.973605349,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,20.42442044,9.575579563
46,,,Very important,Moderately important,Very important,Not applicable (N/A),Very important,,,,,,2,growth,,,0,,,,16.75,,C2,,low,1.34375,med,0.65625,low,43,43,173,6.945137344,0.979918696,"(16.5,19.5]",6,"(40.7,44]",12,"(39.7,43]",12,22.89292109,-6.142921093
47,,,Moderately important,Moderately important,Not at all important,Not applicable (N/A),Extremely important,,,,,,4.96875,growth,,,0,,,,21.75,,C2,,high,1.4375,med,3.53125,high,43,43,132,6.685924221,0.984032234,"(19.5,22.5]",7,"(40.7,44]",12,"(39.7,43]",12,30.63372012,-8.883720124
48,,,Moderately important,Not at all important,Slightly important,Very important,Not at all important,,,,,,4.09375,growth,,,0,,,,31.5,,C1,,med,1.28125,low,2.8125,high,42,44,107,7.606738406,0.978385433,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,23.11906622,8.380933784
49,,,Extremely important,Not at all important,Moderately important,Slightly important,Not at all important,,,,,,3.71875,growth,,,0,,,,23.5,,E1,,med,1.3125,low,2.40625,high,43,43,72,5.967822539,0.961086619,"(22.5,25.5]",8,"(40.7,44]",12,"(39.7,43]",12,23.16960712,0.330392877
50,,,Very important,Not at all important,Slightly important,Not applicable (N/A),Moderately important,,,,,,4.1875,mix,,,0,,,,28.5,,C2,,med,2.5,high,1.6875,med,43,43,163,7.440381855,0.983885657,"(25.5,28.5]",9,"(40.7,44]",12,"(39.7,43]",12,25.66951205,2.83048795
51,,,Very important,Not at all important,Not at all important,Slightly important,Moderately important,,,,,,4.6875,growth,,,3,,,,33,,E1,,high,1.875,med,2.8125,high,41,42,107,6.048294826,0.954012291,"(31.5,34.5]",11,"(40.7,44]",12,"(39.7,43]",12,27.90612551,5.093874486
52,,,Very important,Moderately important,Moderately important,Moderately important,Extremely important,,,,,,3.125,growth,,,0,,,,1.5,,C2,,low,1,low,2.125,med,9,9,66,6.453394864,0.98227347,"(1.46,4.5]",1,"(7.33,10.7]",2,"(6.33,9.67]",2,15.74203865,-14.24203865
53,,,Moderately important,Very important,Very important,Not at all important,Moderately important,,,,,,3.09375,growth,,,0,,,,5.75,,C2,,low,1.40625,med,1.6875,med,8,9,39,6.211191067,0.969076645,"(4.5,7.5]",2,"(7.33,10.7]",2,"(6.33,9.67]",2,14.23746094,-8.487460938
54,,,Very important,Very important,Slightly important,Moderately important,Very important,,,,,,5,fixed,,,7,,,,31.75,,E1,,high,4,high,1,low,43,44,72,6.557836375,0.974719666,"(31.5,34.5]",11,"(40.7,44]",12,"(39.7,43]",12,29.40727648,2.342723517
55,,,Very important,Slightly important,Very important,Slightly important,Extremely important,,,,,,3.84375,mix,,,3,,,,34.5,,C2,,med,2.34375,med,1.5,med,7,7,11,5.589543774,0.975841725,"(31.5,34.5]",11,"(3.96,7.33]",1,"(6.33,9.67]",2,17.70196608,16.79803392
56,,,Slightly important,Moderately important,Slightly important,Very important,Not at all important,,,,,,3.125,growth,,,0,,,,18.5,,E1,,low,1.21875,low,1.90625,med,34,34,70,5.523361477,0.938925145,"(16.5,19.5]",6,"(30.7,34]",9,"(33,36.3]",10,18.88371092,-0.383710919
57,,,Moderately important,Slightly important,Slightly important,Slightly important,Very important,,,,,,3,mix,,,0,,,,7,,C1,,low,1.53125,med,1.46875,med,7,8,19,4.698068512,0.967082522,"(4.5,7.5]",2,"(7.33,10.7]",2,"(6.33,9.67]",2,8.069032948,-1.069032948
58,,,Very important,Very important,Not applicable (N/A),Extremely important,Extremely important,,,,,,4.875,growth,,,1,,,,27.25,,C1,,high,3.09375,high,1.78125,med,43,43,77,6.102487591,0.95988009,"(25.5,28.5]",9,"(40.7,44]",12,"(39.7,43]",12,22.10109526,5.148904744
59,,,Very important,Not applicable (N/A),Not applicable (N/A),Slightly important,Not at all important,,,,,,4.71875,growth,,,0,,,,23,,C1,,high,3.65625,high,1.0625,low,33,33,65,5.386916709,0.964539459,"(22.5,25.5]",8,"(30.7,34]",9,"(29.7,33]",9,15.46760522,7.532394785
60,,,Slightly important,Moderately important,Slightly important,Not applicable (N/A),Very important,,,,,,4.3125,growth,,,1,,,,28.75,,C2,,med,2.75,high,1.5625,med,43,43,115,6.750269242,0.977323898,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,26.76494554,1.985054465
61,,,Moderately important,Slightly important,Slightly important,Very important,Very important,,,,,,2.78125,mix,,,0,,,,13.75,,C2,,low,1.125,low,1.65625,med,43,43,159,6.679706849,0.981248506,"(13.5,16.5]",5,"(40.7,44]",12,"(39.7,43]",12,25.58537293,-11.83537293
62,,,Extremely important,Not applicable (N/A),Not applicable (N/A),Very important,Extremely important,,,,,,4.90625,growth,,,1,,,,28.25,,C1,,high,3,high,1.90625,med,43,44,76,6.036507129,0.966161518,"(25.5,28.5]",9,"(40.7,44]",12,"(39.7,43]",12,22.43765174,5.812348264
63,,,Extremely important,Not applicable (N/A),Not applicable (N/A),Moderately important,Very important,,,,,,2.15625,mix,,,0,,,,19,,C1,,low,1,low,1.15625,low,43,43,87,6.178325237,0.969143062,"(16.5,19.5]",6,"(40.7,44]",12,"(39.7,43]",12,18.98632289,0.013677107
64,,,Moderately important,Not applicable (N/A),Not applicable (N/A),Moderately important,Extremely important,,,,,,4.875,growth,,,1,,,,30.5,,C1,,high,1.75,med,3.125,high,43,43,95,6.087488807,0.971389207,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,25.71907741,4.780922588
65,,,Slightly important,Slightly important,Moderately important,Slightly important,Not at all important,,,,,,4.59375,growth,,,0,,,,19.75,,E1,,high,1.375,med,3.21875,high,43,43,80,5.895311794,0.94356277,"(19.5,22.5]",7,"(40.7,44]",12,"(39.7,43]",12,25.35722424,-5.607224241
66,,,Extremely important,Slightly important,Moderately important,Very important,Very important,,,,,,5.0625,mix,,,3,,,,15,,C1,,high,1.9375,med,3.125,high,27,34,60,6.734085855,0.971626182,"(13.5,16.5]",5,"(30.7,34]",9,"(26.3,29.7]",8,23.35697683,-8.356976834
67,,,Extremely important,Extremely important,Extremely important,Moderately important,Very important,,,,,,3.90625,growth,,,3,,,,18.5,,E1,,med,1,low,2.90625,high,32,32,69,5.639721323,0.962741485,"(16.5,19.5]",6,"(30.7,34]",9,"(29.7,33]",9,25.21887259,-6.718872588
68,,,Very important,Not applicable (N/A),Moderately important,Slightly important,Very important,,,,,,2.1875,growth,,,0,,,,4.25,,C1,,low,1.25,low,0.9375,low,34,34,101,5.785336398,0.967887814,"(1.46,4.5]",1,"(30.7,34]",9,"(33,36.3]",10,15.45767877,-11.20767877
69,,,Very important,Moderately important,Moderately important,Very important,Slightly important,,,,,,4.46875,mix,,,3,,,,34,,E1,,med,3.75,high,0.71875,low,43,43,61,6.467215076,0.967204751,"(31.5,34.5]",11,"(40.7,44]",12,"(39.7,43]",12,22.92206454,11.07793546
70,,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,4.46875,growth,,,1,,,,15,,C2,,med,2.375,high,2.09375,med,4,4,10,6.547496075,0.989838743,"(13.5,16.5]",5,"(3.96,7.33]",1,"(2.96,6.33]",1,15.45673933,-0.456739335
71,,,Extremely important,Very important,Not at all important,Extremely important,Moderately important,,,,,,2.15625,growth,,,0,,,,3,,E1,,low,1,low,1.15625,low,42,44,107,6.105187922,0.97421348,"(1.46,4.5]",1,"(40.7,44]",12,"(39.7,43]",12,19.4774123,-16.4774123
72,,,Slightly important,Not at all important,Slightly important,Moderately important,Slightly important,,,,,,3.65625,growth,,,5,,,,32.25,,C2,,med,3.96875,high,-0.3125,low,43,43,88,6.269862782,0.980843467,"(31.5,34.5]",11,"(40.7,44]",12,"(39.7,43]",12,27.4445582,4.805441799
73,,,Slightly important,Very important,Moderately important,Very important,Extremely important,,,,,,5.875,growth,,,1,,,,29.5,,E1,,high,1,low,4.875,high,43,43,76,6.018541005,0.960387109,"(28.5,31.5]",10,"(40.7,44]",12,"(39.7,43]",12,31.24858756,-1.748587561
74,,,Very important,Slightly important,Very important,Not applicable (N/A),Extremely important,,,,,,5.21875,growth,,,0,,,,35,,C2,,high,1.90625,med,3.3125,high,43,43,122,6.739637909,0.990052375,"(34.5,37.5]",12,"(40.7,44]",12,"(39.7,43]",12,30.04474628,4.955253715
75,,,Very important,Very important,Slightly important,Slightly important,Slightly important,,,,,,4.1875,growth,,,0,,,,29.5,,C2,,med,2.71875,high,1.46875,med,29,29,73,6.243864821,0.964194232,"(28.5,31.5]",10,"(27.3,30.7]",8,"(26.3,29.7]",8,20.50771777,8.992282234
76,,,Extremely important,Extremely important,Not at all important,Moderately important,Not at all important,,,,,,6.65625,fixed,,,10,,,,25.25,,E1,,high,4.46875,high,2.1875,med,38,39,65,5.80563061,0.967605102,"(22.5,25.5]",8,"(37.3,40.7]",11,"(36.3,39.7]",11,35.26738278,-10.01738278
77,,,Very important,Moderately important,Extremely important,Very important,Moderately important,,,,,,6.5625,growth,,,0,,,,25.25,,E1,,high,5.1875,high,1.375,med,43,43,81,5.946410628,0.963773567,"(22.5,25.5]",8,"(40.7,44]",12,"(39.7,43]",12,20.39301617,4.856983834
78,,,Extremely important,Moderately important,Very important,Not applicable (N/A),Very important,,,,,,3.875,mix,,,0,,,,24.75,,C2,,med,2.59375,high,1.28125,low,9,10,22,5.616688455,0.967168105,"(22.5,25.5]",8,"(7.33,10.7]",2,"(6.33,9.67]",2,13.47028241,11.27971759
79,,,Very important,Moderately important,Moderately important,Not applicable (N/A),Slightly important,,,,,,4.0625,growth,,,0,,,,33,,C2,,med,1.8125,med,2.25,high,33,33,85,6.835535414,0.967371799,"(31.5,34.5]",11,"(30.7,34]",9,"(29.7,33]",9,23.91771589,9.08228411